?????;??? ??????;??????;???????;????;????????? ????;?????????? ??????;????? ???????;????;???? ????? ???????;??? ????????? ????;??? ???????;????? ??????;?????? ?????;?????;?????;????? ????;?????
??????? ?????????;???????;https://serpukhov.cian.ru/sale/flat/303446563/;????????;2;16;2;59,9;7 400 000,00 ?;2009;;;35 ?²;11 ?²;????????;??????????? ;142?2;
ID 116115584;???????? ?????;https://serpukhov.cian.ru/sale/flat/306791706/;????????;4;7;1;40,0;4 350 000,00 ?;2009;;;18 ?²;12 ?²;????????; ???????;8;
????? ???????;???????;https://balashikha.cian.ru/sale/flat/307029509/;????????;12;22;1;40,4;7 500 000,00 ?;2009;;;20 ?²;15 ?²;;;26;??????????
ID 59624172;???????? ?????;https://balashikha.cian.ru/sale/flat/295788739/;????????;17;24;1;40,0;7 000 000,00 ?;2009;;;19 ?²;10,9 ?²;; ?????????;52/2;??????????
ID 117118140;???????? ?????;https://balashikha.cian.ru/sale/flat/302598536/;????????;15;16;2;63,7;13 100 000,00 ?;2009;;;30 ?²;17,8 ?²;;??????? ;32?3;????????????
??????????;????? ?? ????????????;https://balashikha.cian.ru/sale/flat/303023130/;????????;23;25;3;92,7;11 300 000,00 ?;2009;;;53 ?²;12 ?²;;????????? ;102;??????????
????? ????;????? ?? ????????????;https://balashikha.cian.ru/sale/flat/299610154/;????????;11;17;3;80,2;17 000 000,00 ?;2009;;;47,1 ?²;11 ?²;; ?????????;4;???????????????
???? ????;???????;https://balashikha.cian.ru/sale/flat/303845319/;????????;17;25;3;93,0;10 490 000,00 ?;2009;;;51 ?²;11 ?²;;????????? ;102;??????????
???????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/308453339/;?????;14;25;1;45,0;8 700 000,00 ?;2008;;;17,7 ?²;10,4 ?²;;?????????? ;70;???????????
??????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/307083328/;?????;17;25;1;41,9;8 800 000,00 ?;2008;;;17,8 ?²;10,4 ?²;;?????????? ;70;???????????
ID 214449;???????;https://khimki.cian.ru/sale/flat/299682146/;?????;15;25;1;41,8;8 300 000,00 ?;2008;;;18 ?²;12 ?²;;?????????? ;70;???????????
ID 103335345;???????? ?????;https://khimki.cian.ru/sale/flat/306421408/;?????;18;25;1;41,9;8 490 000,00 ?;2008;;;17,8 ?²;10,4 ?²;;?????????? ;76;???????????
????????? ?????????;???????;https://khimki.cian.ru/sale/flat/303458446/;?????;21;25;1;41,4;8 500 000,00 ?;2008;;;17,8 ?²;10 ?²;;?????????? ;74;???????????
ID 9671920;???????? ?????;https://khimki.cian.ru/sale/flat/306953248/;?????;9;25;1;42,0;8 800 000,00 ?;2008;;;21 ?²;11 ?²;;?????????? ;60;???????????
????? ??????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/306899632/;?????;13;25;1;42,0;9 800 000,00 ?;2008;;;;10,4 ?²;;?????????? ;68;???????????
ID 114859045;???????? ?????;https://khimki.cian.ru/sale/flat/305372386/;?????;17;17;1;41,4;9 800 000,00 ?;2008;;;;10 ?²;;9 ??? ;12?;???????????
ID 44440502;??????????;https://khimki.cian.ru/sale/flat/302470044/;?????;22;25;1;52,3;11 700 000,00 ?;2008;;;20,1 ?²;13,1 ?²;; ??????????;4?;?????
ID 16483;???????;https://khimki.cian.ru/sale/flat/289680442/;?????;8;26;1;58,0;12 000 000,00 ?;2008;;;22,3 ?²;15 ?²;;?????????? ;36?;?????
ID 99369117;???????? ?????;https://khimki.cian.ru/sale/flat/301269226/;?????;24;26;1;57,0;13 950 000,00 ?;2008;;;30 ?²;14 ?²;;?????????? ;36?;?????
????? ??????;????? ?? ????????????;https://khimki.cian.ru/sale/flat/308642816/;?????;8;25;1;55,0;14 500 000,00 ?;2008;;;;13 ?²;; ??????????;4?;?????
ID 17490477;???????? ?????;https://khimki.cian.ru/sale/flat/238499766/;?????;8;25;1;55,0;14 500 000,00 ?;2008;;;;;; ??????????;4?;?????????
???????? ???????;???????;https://khimki.cian.ru/sale/flat/308959937/;?????;18;22;1;45,0;9 500 000,00 ?;2008;;;20 ?²;10,5 ?²;; ??????????;7;???????????
????? ????????;????? ?? ????????????;https://kostroma.cian.ru/sale/flat/308602332/;????????;2;4;5;172,5;28 000 000,00 ?;2008;;;130 ?²;15 ?²;????????? ???;??????? ???????????;3;
?????????;????? ?? ????????????;https://odintsovo.cian.ru/sale/flat/293717242/;????????;8;12;1;45,0;5 580 000,00 ?;2008;;;18 ?²;12 ?²;?. ????? ??????;?????????? ?????;5;
ID 53725054;???????? ?????;https://odintsovo.cian.ru/sale/flat/296170942/;????????;7;7;2;68,7;9 200 000,00 ?;2008;;;;31,2 ?²;;;;
????????? ???????????? ??????? ?????????;????? ?? ????????????;https://www.cian.ru/sale/flat/303206809/;??????-??????????;7;10;2;61,8;7 200 000,00 ?;2008;;;31,5 ?²;15,7 ?²;?????? ??;????? ?????????;2?;
??????? ???? ?.????????;????? ?? ????????????;https://luhovicy.cian.ru/sale/flat/304045509/;????????;1;11;1;37,7;4 300 000,00 ?;2008;;;20 ?²;9 ?²;????????;???????????? ;49;
ID 78094104;???????? ?????;https://luhovicy.cian.ru/sale/flat/302737676/;????????;1;11;1;37,7;4 200 000,00 ?;2008;;;;9 ?²;????????;???????????? ;49;
??????;????? ?? ????????????;https://voskresensk.cian.ru/sale/flat/298296233/;???????????;6;16;3;84,0;9 100 000,00 ?;2008;;;50 ?²;11 ?²;?????????? ???; ??????????;2;
?????? ??????;???????;https://voskresensk.cian.ru/sale/flat/303744219/;???????????;8;16;2;64,0;7 650 000,00 ?;2008;;;34 ?²;11 ?²;?????????? ???; ??????????;4;
??????;????? ?? ????????????;https://voskresensk.cian.ru/sale/flat/303248494/;???????????;2;14;1;41,0;7 500 000,00 ?;2008;;;21 ?²;10 ?²;??????????? ???; ?????????;3;
Maitre Rochet - ??? ?????? ?? ??????????;????? ?? ????????????;https://voskresensk.cian.ru/sale/flat/308291427/;???????????;9;14;1;40,0;6 000 000,00 ?;2008;;;23 ?²;10 ?²;??????????? ???; ?????????;;
ID 9608;???????;https://www.cian.ru/sale/flat/248497292/;??????;7;29;1;58,0;23 500 000,00 ?;2008;;;30,4 ?²;20,4 ?²;????????; ??????? ????????;24?6;????????
ID 5775;???????;https://www.cian.ru/sale/flat/256258447/;??????;8;21;1;38,0;16 000 000,00 ?;2008;;;20 ?²;10 ?²;??????????? ?????;??????????? ??????????;32?1;???????????
ID 12562499;???????? ?????;https://www.cian.ru/sale/flat/298925038/;??????;11;17;1;45,0;10 250 000,00 ?;2008;;;21 ?²;10 ?²;;;5;???????????
ID 21616;???????;https://www.cian.ru/sale/flat/309097547/;??????;12;14;1;38,0;13 500 000,00 ?;2008;;;;7,3 ?²;???????? ?????????;?????????? ??????;2;??????????
Isaev Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/309095383/;??????;20;24;2;56,0;18 000 000,00 ?;2008;;;32 ?²;12 ?²;???????????????;??????????? ?????;94?1;?????????
??????? ????????;???????;https://www.cian.ru/sale/flat/309103955/;??????;2;17;2;58,7;14 200 000,00 ?;2008;;;34 ?²;10 ?²;?????????;??????????? ;85;??????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/309085510/;??????;8;24;3;111,0;67 500 000,00 ?;2008;;;59 ?²;15 ?²;???????;??????????? ????????;3;????????????? ????????
ID 44320635;??????????;https://www.cian.ru/sale/flat/309103029/;??????;15;32;4;147,2;75 000 000,00 ?;2008;;;108 ?²;35 ?²;??????;??????????? ;77;?????????
MST-REALTY;????? ?? ????????????;https://vidnoye.cian.ru/sale/flat/305470497/;??????;13;18;2;66,0;10 497 000,00 ?;2008;;;34 ?²;12 ?²;; ????????;3;?????????????
????;????? ?? ????????????;https://vidnoye.cian.ru/sale/flat/308562902/;??????;6;17;2;44,6;8 600 000,00 ?;2008;;;18 ?²;13 ?²;;?????? ??????????;13;?????????????
ID 361122;???????? ?????;https://vidnoye.cian.ru/sale/flat/301739180/;??????;16;18;2;62,0;11 900 000,00 ?;2008;;;35 ?²;12 ?²;; ????????;3;?????????????
????? ????????;???????;https://vidnoye.cian.ru/sale/flat/307986181/;??????;17;18;3;184,0;30 000 000,00 ?;2008;;;80 ?²;50 ?²;; ????????;3;?????????????
??????? ???? ??????;????? ?? ????????????;https://vidnoye.cian.ru/sale/flat/306930360/;??????;17;18;3;126,0;24 500 000,00 ?;2008;;;52 ?²;19 ?²;; ????????;1;????????
??? ??????;???????;https://vidnoye.cian.ru/sale/flat/292949517/;??????;17;18;4;128,5;20 900 000,00 ?;2008;;;47 ?²;38 ?²;; ????????;4;????????
ID 112312662;???????? ?????;https://vidnoye.cian.ru/sale/flat/306391482/;??????;17;18;4;126,0;24 500 000,00 ?;2008;;;94 ?²;19 ?²;; ????????;1;????????
????????? ??????????;???????;https://vidnoye.cian.ru/sale/flat/308459513/;??????;7;17;3;90,0;16 500 000,00 ?;2008;;;51 ?²;16 ?²;;?????? ??????????;15;?????????????
????????????? ????????????;????? ?? ????????????;https://volokolamsk.cian.ru/sale/flat/299467317/;???????????;6;6;3;116,0;17 000 000,00 ?;2008;;;;20 ?²;???????????;????-?????????? ????????;5?;
ID 47205591;???????;https://chekhov.cian.ru/sale/flat/307700124/;?????;10;16;3;96,9;8 600 000,00 ?;2008;;;;13 ?²;?????????? ???; ???????;2;
????? ??????;???????;https://chekhov.cian.ru/sale/flat/267917721/;?????;1;16;3;74,0;9 600 000,00 ?;2008;;;;;?????????? ???; ???????;13;
??????? ???? ?????;????? ?? ????????????;https://chekhov.cian.ru/sale/flat/308020644/;?????;5;17;1;42,0;5 600 000,00 ?;2008;;;20 ?²;9 ?²;; ???????;13;??????
???????? ???????????;???????;https://chekhov.cian.ru/sale/flat/307912254/;?????;15;16;2;60,6;6 900 000,00 ?;2008;;;32 ?²;10 ?²;?????????? ???; ???????;1;
????? ????????;???????;https://elektrostal.cian.ru/sale/flat/308181913/;????????????;17;17;3;74,1;11 000 000,00 ?;2008;;;42,4 ?²;11,5 ?²;???. ???-????????; ???????;5;
????? ?????;????? ?? ????????????;https://chekhov.cian.ru/sale/flat/307312389/;?????;2;24;3;84,9;8 200 000,00 ?;2008;;;45,7 ?²;;?????????? ???; ???????;17;
????????? ?????????;???????;https://chekhov.cian.ru/sale/flat/301502266/;?????;12;16;2;60,2;6 600 000,00 ?;2008;;;;12 ?²;?????????? ???; ???????;1;
????????;????? ?? ????????????;https://elektrostal.cian.ru/sale/flat/308499017/;????????????;1;14;3;94,5;12 990 000,00 ?;2008;;;53,9 ?²;12,3 ?²;???. ????????;????????? ?????;10?;
?????? ???????;???????;https://elektrostal.cian.ru/sale/flat/302485255/;????????????;2;15;3;90,0;14 500 000,00 ?;2008;;;51 ?²;12 ?²;???. ????????;????????? ;17?;
?????? ???????;???????;https://elektrostal.cian.ru/sale/flat/299428020/;????????????;9;15;3;90,0;14 700 000,00 ?;2008;;;45 ?²;17 ?²;???. ?????; ????;22?;
???????? ?????;???????;https://elektrostal.cian.ru/sale/flat/302586275/;????????????;12;17;3;82,3;11 400 000,00 ?;2008;;;68 ?²;12 ?²;???. ???-????????; ???????;5;
ID 97890843;???????;https://elektrostal.cian.ru/sale/flat/308542335/;????????????;5;17;3;71,0;9 650 000,00 ?;2008;;;38 ?²;15 ?²;???. ???-????????; ???????;5;
ID 61409647;???????? ?????;https://dolgoprudny.cian.ru/sale/flat/305245121/;????????????;14;17;1;40,7;9 700 000,00 ?;2008;;;22 ?²;11 ?²;;????? ???????;23;????????????
ID 78475615;???????? ?????;https://shchyolkovo.cian.ru/sale/flat/308880966/;???????;14;14;1;53,0;8 750 000,00 ?;2008;;;18,7 ?²;15,6 ?²;;???????????? ????????;9?3;??????????
??????;????? ?? ????????????;https://podolsk.cian.ru/sale/flat/304380723/;????????;10;17;2;63,0;11 000 000,00 ?;2008;;;42 ?²;13 ?²;;???????? ;42?;????????
?????? ?????;????? ?? ????????????;https://reutov.cian.ru/sale/flat/308942424/;??????;15;25;3;81,5;19 200 000,00 ?;2008;;;47,9 ?²;12,3 ?²;; ???????;20;??????????
ID 387926;???????? ?????;https://domodedovo.cian.ru/sale/flat/309012210/;??????????;7;16;3;77,3;11 700 000,00 ?;2008;;;48 ?²;9,3 ?²;; ??????;9;????????
ID 6984244;???????;https://domodedovo.cian.ru/sale/flat/254618120/;??????????;13;14;3;98,0;19 000 000,00 ?;2008;;;48 ?²;17,5 ?²;; ??????;2;????????
ID 120107529;???????? ?????;https://domodedovo.cian.ru/sale/flat/305648385/;??????????;3;14;3;90,0;14 490 000,00 ?;2008;;;45 ?²;12 ?²;; ??????;8;????????
ID 84557586;???????? ?????;https://yegoryevsk.cian.ru/sale/flat/308958057/;?????????;7;9;1;41,0;3 980 000,00 ?;2008;;;;11 ?²;?????????;???????? ;4;
???????????? ??????????;????? ?? ????????????;https://yegoryevsk.cian.ru/sale/flat/299019283/;?????????;4;9;1;41,0;4 050 000,00 ?;2008;;;;10 ?²;?????????;???????? ;4;
Maitre Rochet ??? ?????? - ???? 2;????? ?? ????????????;https://yegoryevsk.cian.ru/sale/flat/301846820/;?????????;9;9;3;75,0;6 500 000,00 ?;2008;;;45 ?²;14 ?²;?????????;???????? ;8;
??????? ??????????;???????;https://stupino.cian.ru/sale/flat/307932406/;???????;4;14;1;50,5;8 000 000,00 ?;2008;;;18,5 ?²;10,5 ?²;???????; ?????????;61?;
Jcat;????? ?? ????????????;https://stupino.cian.ru/sale/flat/308004552/;???????;4;14;1;50,5;8 000 000,00 ?;2008;;;18,5 ?²;10,5 ?²;???????; ?????????;61?;
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/307856820/;??????;17;31;4;133,7;55 000 000,00 ?;2008;;;70,5 ?²;10 ?²;???????-???????????;????????? ;1?3;?????????
Villagio Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/308421617/;??????;29;29;4;167,1;62 500 000,00 ?;2008;;;99,3 ?²;28,9 ?²;????????; ??????? ????????;24?5;????????
Intermark Real Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/296282173/;??????;5;21;4;222,8;111 400 000,00 ?;2008;;;176 ?²;25 ?²;???????????;??????? ????????? ????????;10?1;???????????
Trust Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/306654376/;??????;19;28;4;120,0;51 000 000,00 ?;2008;;;;16 ?²;???????????;?????? ????????? ????;12;????
????????;????? ?? ????????????;https://www.cian.ru/sale/flat/297770178/;??????;2;14;4;90,9;23 100 000,00 ?;2008;;;62 ?²;10,2 ?²;???????? ????????;??????????? ?????;5?2;???????????
ID 123025560;???????? ?????;https://zvenigorod.cian.ru/sale/flat/308275897/;??????????;4;8;5;160,4;14 000 000,00 ?;2008;;;102,5 ?²;15,6 ?²;??????????; ??????? ????;1?1;
???????;????? ?? ????????????;https://krasnogorsk.cian.ru/sale/flat/302079213/;???????????;17;19;5;118,0;30 000 000,00 ?;2008;;;77 ?²;14 ?²;;?????? ;20?2;??????
???? ????????;???????;https://krasnogorsk.cian.ru/sale/flat/308753739/;???????????;3;4;5;204,0;67 490 000,00 ?;2008;;;;35 ?²;;??????? ??????????;21;????????
ID 250637;???????? ?????;https://odintsovo.cian.ru/sale/flat/306929363/;????????;17;17;5;135,4;19 999 999,00 ?;2008;;;90,3 ?²;14,5 ?²;???. ????????; ??????;19;
????? ??????;????? ?? ????????????;https://odintsovo.cian.ru/sale/flat/308493608/;????????;18;24;1;44,4;7 800 000,00 ?;2008;;;;10,5 ?²;; ???????????;7;????????
ID 7892;????? ?? ????????????;https://dzerzhinsky.cian.ru/sale/flat/308185849/;???????????;7;10;2;89,0;13 100 000,00 ?;2008;;;50,4 ?²;19 ?²;;?????? ;21;??????????
?????????;????? ?? ????????????;https://istra.cian.ru/sale/flat/298535786/;?????;8;13;3;85,2;13 900 000,00 ?;2008;;;52,2 ?²;17 ?²;; 25 ??? ???????;9;????????
???;????? ?? ????????????;https://lobnya.cian.ru/sale/flat/307310268/;?????;4;14;1;45,9;6 900 000,00 ?;2008;;;20 ?²;15 ?²;; ???????;4?2;?????
?????? ??????;???????;https://lobnya.cian.ru/sale/flat/308057168/;?????;10;20;1;45,0;6 300 000,00 ?;2008;;;18 ?²;10 ?²;;??????????? ;18;?????
ID 11287316;??????????;https://lobnya.cian.ru/sale/flat/308294354/;?????;9;19;1;44,4;6 650 000,00 ?;2008;;;18,3 ?²;9,6 ?²;;??????????? ;18;?????
ID 115369181;???????? ?????;https://lobnya.cian.ru/sale/flat/300793878/;?????;2;20;1;44,6;6 790 000,00 ?;2008;;;18,2 ?²;9,6 ?²;;??????????? ;18;?????
?????????  ????????;???????;https://lobnya.cian.ru/sale/flat/306671432/;?????;18;20;3;96,0;10 400 000,00 ?;2008;;;62 ?²;12 ?²;;??????????? ;18;?????
??????????;????? ?? ????????????;https://dmitrov.cian.ru/sale/flat/304392559/;???????;8;17;3;89,9;9 200 000,00 ?;2008;;;60 ?²;15 ?²;???????; ??????????? ?.?. ?????????;11;
???? ???????;???????;https://dmitrov.cian.ru/sale/flat/299988261/;???????;18;18;1;41,0;3 800 000,00 ?;2008;;;;9 ?²;???????; ??????????? ?.?. ?????????;11;
EuroDoma;????? ?? ????????????;https://klin.cian.ru/sale/flat/294944296/;????;1;4;4;154,0;10 500 000,00 ?;2008;;;9 ?²;32 ?²;; ??????;26?8;???????
??????;????? ?? ????????????;https://lobnya.cian.ru/sale/flat/308600986/;?????;9;20;2;69,7;9 700 000,00 ?;2008;;;37,8 ?²;11 ?²;;??????????? ;18;?????
???? ????????????;????? ?? ????????????;https://balashikha.cian.ru/sale/flat/307396376/;????????;18;19;1;15,4;3 000 000,00 ?;2008;;;5,4 ?²;5 ?²;; ???????;1.0;???????????????
????? ??????;???????;https://khimki.cian.ru/sale/flat/303588444/;?????;24;25;4;102,1;16 800 000,00 ?;2008;;;56 ?²;10 ?²;;?????????? ;60;???????????
??????? ????;????? ?? ????????????;https://odintsovo.cian.ru/sale/flat/305782355/;????????;5;6;4;101,0;30 000 000,00 ?;2008;;;30 ?²;20 ?²;;;;
????????;????? ?? ????????????;https://dubna.cian.ru/sale/flat/306926276/;?????;8;9;2;54,9;11 500 000,00 ?;2008;;;32,5 ?²;9,3 ?²;?????;???????? ??????????;39;
????????;????? ?? ????????????;https://dubna.cian.ru/sale/flat/305946370/;?????;6;9;3;71,0;14 500 000,00 ?;2008;;;31 ?²;24 ?²;?????;???????? ??????????;39;
ID 69477685;???????? ?????;https://dubna.cian.ru/sale/flat/303707628/;?????;9;12;2;73,5;12 200 000,00 ?;2008;;;41,5 ?²;9,3 ?²;?????;???????? ;8;
????;????? ?? ????????????;https://klin.cian.ru/sale/flat/303459119/;????;3;10;1;40,4;4 450 000,00 ?;2008;;;;9 ?²;????; 60 ??? ???????;7/1;
??? ?????;????? ?? ????????????;https://www.cian.ru/sale/flat/307307517/;??????;13;17;1;37,8;8 999 999,00 ?;2008;;;18 ?²;7,9 ?²;; ????????;17;???????????
???????? ? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/301785375/;??????;25;25;5;175,0;80 000 000,00 ?;2008;;;99 ?²;19 ?²;???????????;????????? ????????;105?3;???????????
??????? ??????;???????;https://www.cian.ru/sale/flat/303412754/;??????;23;23;5;195,0;85 000 000,00 ?;2008;;;85 ?²;24 ?²;????????;??????? ;19?3;?????
??????;????? ?? ????????????;https://www.cian.ru/sale/flat/308542264/;??????;15;37;5;190,0;114 000 000,00 ?;2008;;;125 ?²;20 ?²;?????????-????????;???????? ???????????;94?4;?????????
Intermark Real Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/290333469/;??????;27;31;5;212,0;115 000 000,00 ?;2008;;;100 ?²;13 ?²;???????-???????????;????????? ;1?1;?????????
Vesco Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/278927086/;??????;27;30;5;212,0;118 500 000,00 ?;2008;;;;;???????-???????????;????????? ;1?1;?????????
FS PROPERTY;????? ?? ????????????;https://www.cian.ru/sale/flat/269756825/;??????;27;31;5;212,0;120 000 000,00 ?;2008;;;;25 ?²;???????-???????????;????????? ;1?1;?????????
????? ?????????;???????;https://www.cian.ru/sale/flat/294856193/;??????;29;37;5;267,0;120 000 000,00 ?;2008;;;150 ?²;46,3 ?²;??????????;??????????? ;31;??????????
SHOW ME;????? ?? ????????????;https://www.cian.ru/sale/flat/273004606/;??????;1;6;5;190,0;129 000 000,00 ?;2008;;;;24 ?²;??????????-?????????;????????? ;4?10;??????????
Kalinka Group;????? ?? ????????????;https://www.cian.ru/sale/flat/306885437/;??????;1;5;5;189,0;129 000 000,00 ?;2008;;;108,7 ?²;29,1 ?²;??????????-?????????;????????? ;4?10;?????????
????????;????? ?? ????????????;https://www.cian.ru/sale/flat/307872692/;??????;23;23;5;250,0;173 999 999,00 ?;2008;;;151 ?²;30 ?²;????????? ????;????????????? ;24;????????? ????
????? ??????;????? ?? ????????????;https://www.cian.ru/sale/flat/307277787/;??????;22;31;5;174,0;96 000 000,00 ?;2008;;;;16 ?²;???????-???????????;????????? ;1?2;?????????
NF Group - ex-Knight Frank;????? ?? ????????????;https://www.cian.ru/sale/flat/296106306/;??????;24;65;5;224,9;183 695 036,00 ?;2008;;;;16 ?²;???????????;?????????? ???????????;8?1;??????? ?????
NF Group - ex-Knight Frank;????? ?? ????????????;https://www.cian.ru/sale/flat/305062289/;??????;3;6;5;213,4;451 134 599,00 ?;2008;;;;20 ?²;?????????;???????? ????????????;1;???? ????????
Stapler Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/306084769/;??????;9;10;5;320,0;488 378 000,00 ?;2008;;;190 ?²;50 ?²;?????????; ???????;2?3;???????????
ID 18174647;???????;https://www.cian.ru/sale/flat/301450189/;??????;26;31;5;246,7;287 843 564,00 ?;2008;;;140,9 ?²;28 ?²;???????-???????????;????????? ;1?1;?????????
NF Group - ex-Knight Frank;????? ?? ????????????;https://www.cian.ru/sale/flat/295848895/;??????;2;6;3;118,7;214 999 900,00 ?;2008;;;;10 ?²;?????????;???????? ??????;5;???? ????????
Century 21 Premium Property;????? ?? ????????????;https://www.cian.ru/sale/flat/284017557/;??????;3;6;3;162,0;290 000 000,00 ?;2008;;;71 ?²;50 ?²;?????????;???????? ??????;5;???? ????????
ID 18174647;???????;https://www.cian.ru/sale/flat/301450189/;??????;26;31;5;246,7;286 355 351,00 ?;2008;;;140,9 ?²;28 ?²;???????-???????????;????????? ;1?1;?????????
SHOW ME;????? ?? ????????????;https://www.cian.ru/sale/flat/306567075/;??????;2;10;3;115,0;101 000 000,00 ?;2008;;;;45 ?²;????????;??????? ?????????? ;69;???????????
ID 9732616;???????? ?????;https://www.cian.ru/sale/flat/307629661/;??????;8;8;3;95,0;31 000 000,00 ?;2008;;;51 ?²;9 ?²;???????;????????-????????? ;16/114;???????????
???????? ???????;???????;https://balashikha.cian.ru/sale/flat/304552588/;????????;3;17;1;44,0;5 500 000,00 ?;2008;;;20 ?²;8,5 ?²;; ?????????;46;??????????
ID 62842364;???????? ?????;https://dolgoprudny.cian.ru/sale/flat/303163427/;????????????;14;19;1;42,4;12 980 000,00 ?;2008;;;;;;?????????? ;11?;????????????
???????? ?????????;???????;https://krasnoznamensk.cian.ru/sale/flat/299332476/;??????????????;6;17;2;56,9;9 250 000,00 ?;2008;;;;9 ?²;; ?????????;10;????????
????????? ? ????????;????? ?? ????????????;https://krasnoznamensk.cian.ru/sale/flat/308236842/;??????????????;4;17;3;69,0;10 500 000,00 ?;2008;;;;18,1 ?²;; ?????????;12;????????
??????? ???? ?????;????? ?? ????????????;https://lobnya.cian.ru/sale/flat/305101631/;?????;11;20;2;69,6;8 150 000,00 ?;2008;;;37,8 ?²;11 ?²;;??????????? ;18;?????
BARNES International Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/291161835/;??????;27;31;5;212,0;115 000 000,00 ?;2008;;;;20 ?²;???????-???????????;????????? ;1?1;?????????
RND;????? ?? ????????????;https://www.cian.ru/sale/flat/304222000/;??????;10;10;5;178,0;137 900 000,00 ?;2008;;;;30 ?²;????????????;???????????? ;20?1;????????????
??????? ?????????;???????;https://www.cian.ru/sale/flat/300162490/;??????;2;25;5;204,7;62 100 000,00 ?;2008;;;99,1 ?²;16,9 ?²;?????????-????????; ??????????;3;???-????????
??????? ???????;???????;https://mytishchi.cian.ru/sale/flat/289793101/;??????;2;13;2;63,1;9 500 000,00 ?;2008;;;50 ?²;10 ?²;; ?????????;25;??????????
???????????;????? ?? ????????????;https://podolsk.cian.ru/sale/flat/303225877/;????????;12;16;1;35,0;6 500 000,00 ?;2008;;;18 ?²;8,5 ?²;;????????? ;23;????????
????? ???????;???????;https://vidnoye.cian.ru/sale/flat/298507507/;??????;2;17;1;42,0;8 650 000,00 ?;2008;;;17 ?²;11 ?²;??????;?????? ??????????;13;
ID 45506926;???????? ?????;https://zvenigorod.cian.ru/sale/flat/287334773/;??????????;7;10;3;72,3;13 500 000,00 ?;2008;;;;13 ?²;;;;
CENTURY 21 RnB Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/302016116/;??????;6;17;2;61,0;13 900 000,00 ?;2008;;;33 ?²;13 ?²;; ?????????;9;???????????
?? ????????;????? ?? ????????????;https://www.cian.ru/sale/flat/305382206/;??????;11;16;2;60,3;15 500 000,00 ?;2008;;;33,2 ?²;12,9 ?²;????????;??????????? ?????;165??3;??????
????? ????????;???????;https://www.cian.ru/sale/flat/308947300/;??????;1;3;1;15,4;3 490 000,00 ?;2008;;;13,2 ?²;;???????;5-? ??????????? ;49;????????
Villagio Realty;????? ?? ????????????;https://www.cian.ru/sale/flat/305913433/;??????;13;23;3;96,0;45 900 000,00 ?;2008;;;54,1 ?²;11,2 ?²;?????????;?????????? ????????? ????????;15;??????????
Moscow Estate Group;????? ?? ????????????;https://www.cian.ru/sale/flat/303496089/;??????;24;30;3;177,0;96 000 000,00 ?;2008;;;118 ?²;11 ?²;???????-???????????;????????? ;1?4;?????????? ???????
????;????? ?? ????????????;https://klin.cian.ru/sale/flat/302652083/;????;4;10;3;81,7;10 990 000,00 ?;2008;;;49,3 ?²;9,6 ?²;????; ??????;45/20;
?????;????? ?? ????????????;https://klin.cian.ru/sale/flat/297725421/;????;4;4;1;47,0;5 950 000,00 ?;2008;;;20 ?²;11 ?²;????; ??????;26?7;
PEOPLE;????? ?? ????????????;https://www.cian.ru/sale/flat/305909779/;??????;6;10;2;178,1;150 000 000,00 ?;2008;;;;;????????;??????? ?????????? ;69;???????????
??????? ????????;???????;https://klin.cian.ru/sale/flat/305529691/;????;8;10;1;40,0;5 100 000,00 ?;2008;;;18 ?²;10 ?²;????; 60 ??? ???????;7/1;
ID 7841136;????? ?? ????????????;https://reutov.cian.ru/sale/flat/307022919/;??????;25;25;4;232,0;65 000 000,00 ?;2008;;;106 ?²;32 ?²;;????????????? ;22;??????
?????? ????????;???????;https://serpukhov.cian.ru/sale/flat/301101570/;????????;2;17;1;53,0;7 500 000,00 ?;2008;;;14 ?²;20 ?²;????????; 5-? ???????????;10;
?????? ???????;???????;https://serpukhov.cian.ru/sale/flat/307382291/;????????;9;17;2;64,3;11 000 000,00 ?;2008;;;31 ?²;12,6 ?²;????????; 5-? ???????????;10;
ID 1619638;???????? ?????;https://balashikha.cian.ru/sale/flat/307708960/;????????;17;17;1;39,4;7 200 000,00 ?;2008;;;18,8 ?²;9,7 ?²;;??????? ;35;????????????
ID 91073141;???????? ?????;https://balashikha.cian.ru/sale/flat/306104934/;????????;10;17;1;50,4;11 000 000,00 ?;2008;;;19,5 ?²;14 ?²;;???????? ;32;??????????
?????? ?????????;???????;https://balashikha.cian.ru/sale/flat/300790238/;????????;10;17;2;61,0;9 200 000,00 ?;2008;;;32 ?²;11,6 ?²;;;14;??????
